연번,시도,시군구,의료기관명,주소,"대표 전화번호",ssafy아이디,입력날짜
14,서울,광진구,광진구보건소,"서울특별시 광진구 자양로 117 (자양동)",02-450-1937,ruddms0127@naver.com,"2020-03-16 13:42:01"
15,서울,광진구,"광진구보건소 자양보건지소","서울특별시 광진구 아차산로24길 17 ",02-450-7090,ruddms0127@naver.com,"2020-03-16 13:42:01"
16,서울,광진구,건국대학교병원,"서울특별시 광진구 능동로 120-1 (화양동)",02-1588-1533,ruddms0127@naver.com,"2020-03-16 13:42:01"
17,서울,구로구,구로구보건소,"서울특별시 구로구 구로중앙로28길 66 (구로동, 구로5동 주민센터, 구로구보건소)",02-860-2003,ruddms0127@naver.com,"2020-03-16 13:42:01"
18,서울,구로구,"구로구보건소 가리봉동선별진료소","서울특별시 구로구 우마2길 35",02-860-2018,ruddms0127@naver.com,"2020-03-16 13:42:01"
19,서울,구로구,고려대학교의과대학부속구로병원,"서울특별시 구로구 구로동로 148, 고려대부속구로병원 (구로동)",02-2626-1114,ruddms0127@naver.com,"2020-03-16 13:42:01"
20,서울,금천구,금천구보건소,"서울특별시 금천구 시흥대로73길 70 (시흥동, 금천구보건소)",02-2627-2717,ruddms0127@naver.com,"2020-03-16 13:42:01"
21,서울,금천구,독산보건분소,"서울 금천구 독산로 87길 27",02-2627-1967,ruddms0127@naver.com,"2020-03-16 13:42:01"
22,서울,노원구,노원구보건소,"서울특별시 노원구 노해로 437 (상계동)",02-2116-3300~4,ruddms0127@naver.com,"2020-03-16 13:42:01"
23,서울,노원구,노원을지대학교병원,"서울특별시 노원구 한글비석로 68, 을지병원 (하계동)",02-970-8000,ruddms0127@naver.com,"2020-03-16 13:42:01"
24,서울,노원구,인제대학교상계백병원,"서울특별시 노원구 동일로 1342, 상계백병원 (상계동)",02-950-1114,ruddms0127@naver.com,"2020-03-16 13:42:01"
25,서울,도봉구,도봉구보건소,"서울특별시 도봉구 방학로3길 117 (쌍문동, 도봉보건소)",02-2091-4483,ruddms0127@naver.com,"2020-03-16 13:42:01"
26,서울,동대문구,동대문구보건소,"서울특별시 동대문구 천호대로 145 (용두동)",02-2127-4283,ruddms0127@naver.com,"2020-03-16 13:42:01"
27,서울,동대문구,경희대학교병원,"서울특별시 동대문구 경희대로 23 (회기동)",02-958-8114,ruddms0127@naver.com,"2020-03-16 13:42:01"
28,서울,동대문구,삼육서울병원,"서울특별시 동대문구 망우로 82 (휘경동)",1577-3675,ruddms0127@naver.com,"2020-03-16 13:42:01"
29,서울,동대문구,서울특별시동부병원,"서울특별시 동대문구 무학로 124 ",02-920-9118~9,ruddms0127@naver.com,"2020-03-16 13:42:01"
30,서울,동작구,동작구보건소,"서울특별시 동작구 장승배기로10길 42 (상도동)",02-820-9465,ruddms0127@naver.com,"2020-03-16 13:42:01"
31,서울,동작구,"동작구보건소 신대방선별진료소","서울특별시 동작구 시흥대로 670",02-832-9404,ruddms0127@naver.com,"2020-03-16 13:42:01"
32,서울,동작구,보라매병원,"서울특별시 동작구 보라매로5길 20 (신대방동)",02-870-2114,ruddms0127@naver.com,"2020-03-16 13:42:01"
33,서울,마포구,마포구보건소,"서울특별시 마포구 월드컵로 212 (성산동, 마포구보건소)",02-3153-9037,ruddms0127@naver.com,"2020-03-16 13:42:01"
34,서울,서대문구,서대문구보건소,"서울특별시 연희로 242",02-330-8726,ruddms0127@naver.com,"2020-03-16 13:42:01"
35,서울,서대문구,학교법인연세대학교의과대학세브란스병원,"서울특별시 서대문구 연세로 50-1 (신촌동)",1599-1004,ruddms0127@naver.com,"2020-03-16 13:42:01"
36,서울,서초구,서초구보건소,"서울특별시 서초구 남부순환로 2584 (서초동)",02-2155-8093,ruddms0127@naver.com,"2020-03-16 13:42:01"
37,서울,서초구,학교법인가톨릭학원가톨릭대학교서울성모병원,"서울특별시 서초구 반포대로 222 (반포동)",02-1588-1511,ruddms0127@naver.com,"2020-03-16 13:42:01"
38,서울,서초구,"서울특별시 어린이병원","서울특별시 서초구 헌릉로 260",02-570-8000,ruddms0127@naver.com,"2020-03-16 13:42:01"
39,서울,성동구,성동구보건소,"서울특별시 성동구 마장로23길 10 (홍익동)",02-2286-7172,ruddms0127@naver.com,"2020-03-16 13:42:01"
40,서울,성동구,한양대학교병원,"서울특별시 성동구 왕십리로 222-1 (사근동)",02-2290-8114,ruddms0127@naver.com,"2020-03-16 13:42:01"
41,서울,성북구,성북구보건소,"서울특별시 성북구 화랑로 63 (하월곡동)",02-2241-6022,ruddms0127@naver.com,"2020-03-16 13:42:01"
42,서울,성북구,(학)고려대학교의과대학부속병원(안암병원),"서울특별시 성북구 고려대로 73, 고려대병원 (안암동5가)",02-1577-0083,ruddms0127@naver.com,"2020-03-16 13:42:01"
43,서울,송파구,송파구보건소,"서울특별시 송파구 올림픽로 326 (신천동)",02-2147-3478~9,ruddms0127@naver.com,"2020-03-16 13:42:01"
44,서울,송파구,재단법인아산사회복지재단서울아산병원,"서울특별시 송파구 올림픽로43길 88, 서울아산병원 (풍납동)",02-3010-3114,ruddms0127@naver.com,"2020-03-16 13:42:01"
45,서울,송파구,경찰병원,"서울특별시 송파구 송이로 123",02-3400-1124,ruddms0127@naver.com,"2020-03-16 13:42:01"
46,서울,양천구,양천구보건소,"서울특별시 양천구 목동서로 339 (신정동)",02-2620-3856,ruddms0127@naver.com,"2020-03-16 13:42:01"
47,서울,양천구,"서울특별시 서남병원","서울특별시 양천구 신정이펜1로 20",1566-6688,ruddms0127@naver.com,"2020-03-16 13:42:01"
48,서울,양천구,이화여자대학교의과대학부속목동병원,"서울특별시 양천구 안양천로 1071 (목동)",02-1666-5000,ruddms0127@naver.com,"2020-03-16 13:42:01"
49,서울,영등포구,영등포구보건소,"서울특별시 영등포구 당산로 123 (당산동3가, 영등포구청)",02-2670-4953,ruddms0127@naver.com,"2020-03-16 13:42:01"
50,서울,영등포구,한림대학교강남성심병원,"서울특별시 영등포구 신길로 1 (대림동, 강남성심병원)",02-829-5114,ruddms0127@naver.com,"2020-03-16 13:42:01"
51,서울,영등포구,"가톨릭대학교 여의도성모병원","서울특별시 영등포구 63로 10",02-1661-7575,ruddms0127@naver.com,"2020-03-16 13:42:01"
52,서울,영등포구,성애의료재단성애병원,"서울특별시 영등포구 여의대방로53길 22 (신길동, 성애병원)",02-840-7114,ruddms0127@naver.com,"2020-03-16 13:42:01"
53,서울,영등포구,명지성모병원,"서울특별시 영등포구도림로 156",02-829-7800,ruddms0127@naver.com,"2020-03-16 13:42:01"
54,서울,용산구,용산구보건소,"서울특별시 용산구 녹사평대로 150 (이태원동, 용산구종합행정타운)",02-2199-8371~4,ruddms0127@naver.com,"2020-03-16 13:42:01"
55,서울,용산구,"순천향대학교 부속 서울병원","서울특별시 용산구 대사관로 59 (한남동)",02-709-9114,ruddms0127@naver.com,"2020-03-16 13:42:01"
56,서울,은평구,은평구보건소,"서울특별시 은평구 은평로 195 (녹번동)",02-351-8640,ruddms0127@naver.com,"2020-03-16 13:42:01"
57,서울,은평구,"서울특별시립 서북병원","서울특별시 은평구 갈현로7길 49",02-3156-3022,ruddms0127@naver.com,"2020-03-16 13:42:01"
58,서울,은평구,"서울특별시 은평병원","서울특별시 은평구 백련산로 90",02-300-8060,ruddms0127@naver.com,"2020-03-16 13:42:01"
59,서울,은평구,"가톨릭대학교 은평성모병원","서울특별시 은평구 통일로 1021 (진관동)",02-958-2114,ruddms0127@naver.com,"2020-03-16 13:42:01"
60,서울,종로구,종로구보건소,"서울특별시 종로구 자하문로19길 36 (옥인동)",02-2148-3557,ruddms0127@naver.com,"2020-03-16 13:42:01"
61,서울,종로구,강북삼성병원,"서울특별시 종로구 새문안로 29 (평동)",02-2001-2001,ruddms0127@naver.com,"2020-03-16 13:42:01"
62,서울,종로구,서울적십자병원,"서울시 종로구 평동 164",02-2002-8650,ruddms0127@naver.com,"2020-03-16 13:42:01"
63,서울,중구,인제대학교서울백병원,"서울특별시 중구 마른내로 9 (저동2가)",02-2270-0114,ruddms0127@naver.com,"2020-03-16 13:42:01"
64,서울,중구,중구보건소,"서울특별시 중구 다산로39길 16 (무학동)",02-3396-5181,ruddms0127@naver.com,"2020-03-16 13:42:01"
65,서울,중구,"중구보건소 명동선별상담소","서울특별시 중구 퇴계로115",02-3396-5181,ruddms0127@naver.com,"2020-03-16 13:42:01"
66,서울,중랑구,중랑구보건소,"서울특별시 중랑구 봉화산로 179 (신내동)",02-2094-0800,ruddms0127@naver.com,"2020-03-16 13:42:01"
67,서울,중랑구,서울의료원,"서울특별시 중랑구 신내로 156",02-2276-8333,ruddms0127@naver.com,"2020-03-16 13:42:01"
